Brand Name,Product URL,Image,Product Ratings,Number of ratings,Product Info,Selling Price,Price,Discount
ADA,https://www.myntra.com/kurtis/ada/ada-women-white-chikankari-hand-embroidered-pure-cotton-a-line-sustainable-handloom-kurti/11516056/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11516056/2020/2/28/4c7a26ad-75f9-4a37-aa4a-b70c31eff76a1582889528138-ADA-Women-White-Chikankari-Embroidered-A-Line-Kurti-47115828-1.jpg",4.4,152,Chikankari Embroidered Sustainable Pure Cotton Handloom Kurti,,,
Rain & Rainbow,https://www.myntra.com/kurtis/rain--rainbow/rain--rainbow-women-orange--pink-ethnic-printed-sequinned-pure-cotton-kurti/17606378/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17606378/2022/12/6/9fa6553a-73ed-4479-bc11-07e2a41fbb1d1670297473551RainRainbowWomenOrangePinkEthnicPrintedSequinnedPureCottonKu1.jpg",4.4,44,Ethnic Printed Cotton Kurti,877,1595,(45% OFF)
Sangria,https://www.myntra.com/kurtis/sangria/sangria-women-printed-mirror-work-kaftan-kurti/20224272/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20224272/2022/9/30/3f4f5d75-6efe-4e71-8a5b-661d23b7eb5c1664518458054Kurtas1.jpg",4.3,8,Mirror Work Kaftan Kurti,899,1999,(55% OFF)
MALHAAR,https://www.myntra.com/kurtis/malhaar/malhaar-camel-brown-pure-cotton-kurti/18068428/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18068428/2022/5/13/112b54de-50d5-4843-96ea-5c6e3d66038d1652421864300-MALHAAR-Camel-Brown-Pure-Cotton-Kurti-2231652421863786-1.jpg",4.5,28,Pure Cotton Kurti,683,1799,(62% OFF)
VEDANA,https://www.myntra.com/kurtis/vedana/vedana-navy-blue--white-ethnic-motifs-printed-v-neck-pure-cotton-kurti/17433898/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17433898/2022/3/8/1c24c104-6e11-4f0a-97ca-69e7ea6384791646740560693VEDANAWomenBlueTunics1.jpg",4,86,Ethnic Motifs Printed Pure Cotton Kurti,527,1099,(52% OFF)
Anouk,https://www.myntra.com/kurtis/anouk/anouk-red--green-striped-kurti/18960802/buy,,3.6,17,Striped Kurti,424,1699,(75% OFF)
MALHAAR,https://www.myntra.com/kurtis/malhaar/malhaar-purple-pure-cotton-kurti/18068418/buy,,4.4,87,Pure Cotton Kurti,683,1799,(62% OFF)
Saree Swarg,https://www.myntra.com/kurtis/saree-swarg/saree-swarg-pink-quirky-printed-kurti/19353518/buy,,4.1,8,Quirky Printed Kurti,672,1770,(62% OFF)
Anubhutee,https://www.myntra.com/kurtis/anubhutee/anubhutee-women-navy-blue--white-printed-kurti/11053762/buy,,4.3,783,Women Printed Kurti,573,1739,(67% OFF)
MALHAAR,https://www.myntra.com/kurtis/malhaar/malhaar-red--white-bandhani-printed-pure-cotton-kurti/18068362/buy,,4.5,59,Bandhani Printed Pure Cotton Kurti,687,1349,(49% OFF)
ADA,https://www.myntra.com/kurtis/ada/ada-black--white-ethnic-motifs-embroidered-chikankari-kurti/17241062/buy,,4.5,11,Ethnic Motifs Embroidered Kurti,,,
Bhama Couture,https://www.myntra.com/kurtis/bhama-couture/bhama-couture-women-mustard-yellow--off-white-embroidered-pure-cotton-straight-kurti/12795848/buy,,4.1,331,Embroidered Pure Cotton Straight Kurti,839,1999,(58% OFF)
Anubhutee,https://www.myntra.com/kurtis/anubhutee/anubhutee-women-maroon--beige-printed-straight-kurta/13503110/buy,,3.8,328,Printed Straight Kurta,591,1739,(66% OFF)
ADA,https://www.myntra.com/kurtis/ada/ada-peach-coloured--white-ethnic-motifs-embroidered-chikankari-handloom-kurti/17241032/buy,,4.3,20,Ethnic Motifs Embroidered Handloom Kurti,,,
Anubhutee,https://www.myntra.com/kurtis/anubhutee/anubhutee-women-navy--white-printed-straight-kurti/12797368/buy,,4.1,274,Printed Straight Kurti,486,1739,(72% OFF)
AKIMIA,https://www.myntra.com/kurtis/akimia/akimia-pink--white-ethnic-motifs-embroidered-chikankari-pure-cotton-kurti/17316832/buy,,4.4,188,Ethnic Motifs Embroidered Pure Cotton Kurti,767,1599,(52% OFF)
TANKHI,https://www.myntra.com/kurtis/tankhi/tankhi-blue-printed-flared-sleeves-gotta-patti-kaftan-kurti/17235456/buy,,4.3,53,Printed Kaftan Kurti,899,1999,(55% OFF)
Saree Swarg,https://www.myntra.com/kurtis/saree-swarg/saree-swarg-grey--white-floral-printed-kurti/18509350/buy,,3.9,16,Floral Printed Kurti,855,2250,(62% OFF)
Saree Swarg,https://www.myntra.com/kurtis/saree-swarg/saree-swarg-beige-ethnic-motifs-printed-kurti/18433668/buy,,4.2,13,Ethnic Motifs Printed Kurti,780,1950,(60% OFF)
all about you,https://www.myntra.com/kurtis/all-about-you/all-about-you-women-grey--white-ethnic-motifs-printed-pure-cotton-ikat-kurti/17894508/buy,,,0,Women Pure Cotton Kurti,539,1199,(55% OFF)
Ritu Kumar,https://www.myntra.com/kurtis/ritu-kumar/ritu-kumar-women-teal-blue-ethnic-motifs-embroidered-kurti/17001850/buy,,,0,Ethnic Motifs Embroidered Kurti,,,
Fabindia,https://www.myntra.com/kurtis/fabindia/fabindia-blue--black-pure-cotton-ajrakh-printed-v-neck-kurti/19376076/buy,,,0,Pure Cotton Ajrakh Kurti,979,1399,(30% OFF)
Monte Carlo,https://www.myntra.com/kurtis/monte-carlo/monte-carlo-mustard-yellow--black-floral-printed-kurti--shrug/20978392/buy,,,0,Floral Printed Kurti & Shrug,4225,4695,(10% OFF)
HERE&NOW,https://www.myntra.com/kurtis/herenow/herenow-women-mustard-yellow-solid-kurti/15887088/buy,,3.9,146,Women Solid Kurti,439,1099,(60% OFF)
Sztori,https://www.myntra.com/kurtis/sztori/sztori-women-plus-size-pink--silver-ethnic-motifs-printed-flared-sleeves-kurti/16926192/buy,,3.8,27,Plus Size Ethnic Printed Kurti,449,1499,(70% OFF)
HERE&NOW,https://www.myntra.com/kurtis/herenow/herenow-white--pink-ethnic-motifs-printed-pure-cotton-kurti/15886942/buy,,4.2,330,Ethnic Motifs Printed Pure Cotton Kurti,449,999,(55% OFF)
Sztori,https://www.myntra.com/kurtis/sztori/sztori-women-plus-size-mustard-yellow-floral-print-pleated-kurti/16300012/buy,,4.5,42,Plus Size Floral Print Kurti,759,1899,(60% OFF)
Ritu Kumar,https://www.myntra.com/kurtis/ritu-kumar/ritu-kumar-women-green--red-ethnic-embroidered-mirror-work-pure-cotton-empire-kurti/17776654/buy,,,0,Embroidered Cotton Kurti,4130,5900,(30% OFF)
Rain & Rainbow,https://www.myntra.com/kurtis/rain--rainbow/rain--rainbow-cream-coloured--pink-floral-printed-pure-cotton-kurti/19081016/buy,,4.6,5,Floral Printed Pure Cotton Kurti,897,1795,(50% OFF)
Sangria,https://www.myntra.com/kurtis/sangria/sangria-pink-printed-kurti/20288308/buy,,,0,Printed Kurti,494,1499,(67% OFF)
HERE&NOW,https://www.myntra.com/kurtis/herenow/herenow-navy-blue--green-ethnic-motifs-printed-v-neck-flared-sleeves-kurti/18238642/buy,,3.7,59,Ethnic Motifs Printed Kurti,384,1099,(65% OFF)
Lakshita,https://www.myntra.com/kurtis/lakshita/lakshita-women-charcoal-floral-embroidered-velvet-kurti/18654778/buy,,4.6,5,Floral Embroidered Velvet Kurti,3055,3595,(15% OFF)
MALHAAR,https://www.myntra.com/kurtis/malhaar/malhaar-white--blue-printed-pure-cotton-kurti/18068394/buy,,4.3,129,Printed Pure Cotton Kurti,683,1799,(62% OFF)
PARAMOUNT CHIKAN,https://www.myntra.com/kurtis/paramount-chikan/paramount-chikan-white-embroidered-chikankari-pure-cotton-chikankari-pleated-kurti/19183894/buy,,4.6,22,Embroidered Pure Cotton Kurti,1249,2499,(50% OFF)
PANIT,https://www.myntra.com/kurtis/panit/panit-women-yellow--black-tribal-printed-pleated-kurti/18673158/buy,,3.9,51,Tribal Printed Kurti,629,1799,(65% OFF)
Anubhutee,https://www.myntra.com/kurtis/anubhutee/anubhutee-women-grey--black-geometric-printed-straight-kurti/15635996/buy,,3.7,109,Women Printed Straight Kurti,486,1739,(72% OFF)
Sztori,https://www.myntra.com/kurtis/sztori/sztori-women-plus-size-pink--white-ethnic-motifs-printed-pure-cotton-kurti/16276448/buy,,4.4,48,Plus Size Printed Cotton Kurti,559,1599,(65% OFF)
Pistaa,https://www.myntra.com/kurtis/pistaa/pistaa-navy-blue-kurti/18435980/buy,,3.9,43,Kurti,614,1799,(Rs. 1185 OFF)
Sztori,https://www.myntra.com/kurtis/sztori/sztori-plus-size-women-red--off-white-floral-embroidered-a-line-kurti/16926286/buy,,,0,Plus Size Women A-Line Kurti,934,1699,(45% OFF)
ADA,https://www.myntra.com/kurtis/ada/ada-red--white-ethnic-motifs-embroidered-chikankari-handloom-kurti/17241036/buy,,4.6,9,Ethnic Motifs Embroidered Handloom Kurti,,,
Libas,https://www.myntra.com/kurtis/libas/libas-orange-floral-printed-v-neck-kurti/18311086/buy,,4.2,57,Floral Printed Kurti,428,1299,(67% OFF)
Sztori,https://www.myntra.com/kurtis/sztori/sztori-women-plus-size-blue-thread-work-kurti/16926210/buy,,4.8,12,Plus Size Thread Work Kurti,719,1599,(55% OFF)
MALHAAR,https://www.myntra.com/kurtis/malhaar/malhaar-purple--red-printed-pure-cotton-kurti/18068460/buy,,4.1,28,Printed Pure Cotton Kurti,593,1799,(67% OFF)
Indo Era,https://www.myntra.com/kurtis/indo-era/indo-era-peach-coloured--grey-printed-kurti/14974746/buy,,4.1,55,Printed Kurti,899,1999,(55% OFF)
Bhama Couture,https://www.myntra.com/kurtis/bhama-couture/bhama-couture-white--pink-printed-pure-cotton-a-line-empire-kurti/12795830/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12795830/2022/4/20/41ba1bb3-7e12-4117-8587-2ddf4b8a2beb1650451194825BhamaCoutureWhitePinkPrintedPureCottonA-LineEmpireKurti1.jpg",4.1,147,Printed Pure Cotton A-Line Empire Kurti,919,1999,(54% OFF)
HERE&NOW,https://www.myntra.com/kurtis/herenow/herenow-olive-green--white-ethnic-motifs-printed-v-neck-pleated-kurti/18238648/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18238648/2022/8/22/aec0ea98-d441-4555-805c-76f4d03c2b751661146335294-HERENOW-Green-Ethnic-Motifs-Printed-V-Neck-Pleated-Kurti-411-1.jpg",4,41,Ethnic Motifs Printed Kurti,329,1099,(70% OFF)
Libas,https://www.myntra.com/kurtis/libas/libas-pink-floral-printed-pure-cotton-pleated-anarkali-kurti/18311418/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18311418/2022/5/23/df3b222e-668a-4506-b8b9-a8d7c382cb831653306003703-Libas-Women-Kurtis-3151653306003198-1.jpg",4.4,40,Floral Printed Pure Cotton Anarkali Kurti,389,1299,(70% OFF)
Sangria,https://www.myntra.com/kurtis/sangria/sangria-navy-blue-ethnic-motifs-printed-kurti/20288322/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20288322/2022/11/9/15e6918b-42ce-487c-a453-321368c845281667974703639-Women-Light-Blue-Printed-Short-Kurti-4881667974703142-1.jpg",,0,Ethnic Motifs Printed Kurti,494,1499,(67% OFF)
Ritu Kumar,https://www.myntra.com/kurtis/ritu-kumar/ritu-kumar-women-yellow--green-ethnic-printed-pure-cotton-tiered-kurti/17776702/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17776702/2022/4/14/589633f1-08af-408d-8ff6-7292327571651649933693413-Ritu-Kumar-Women-Kurtis-2031649933692919-1.jpg",3.9,11,Ethnic Printed Cotton Kurti,,,
Anubhutee,https://www.myntra.com/kurtis/anubhutee/anubhutee-women-blue--golden-printed-kurti-/10890042/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10890042/2022/2/22/20f332f1-8fe8-4e65-ae8b-92dd56cb162d1645517752836-Anubhutee-Women-Blue--Golden-Printed-Kurti-3181645517752046-1.jpg",4.4,447,Women Printed Kurti,486,1739,(72% OFF)
Anubhutee,https://www.myntra.com/kurtis/anubhutee/anubhutee-magenta--orange-checked-angrakha-kurti/10613280/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10613280/2022/6/1/3ba08908-9a0d-4eec-9bd1-17ef9d4481b51654088479612AnubhuteeMagentaOrangeCheckedAngrakhaKurti1.jpg",4.3,777,Checked Angrakha Kurti,521,1739,(70% OFF)
Fabindia,https://www.myntra.com/kurtis/fabindia/fabindia-black--white-self-design-v-neck-pure-cotton-kurti/19412634/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19412634/2022/8/22/1fd8ac80-4dc8-444f-9351-c36f1601747f1661149221470-Fabindia-Black--White-Self-Design-V-Neck-Pure-Cotton-Kurti-3-1.jpg",,0,Self-Design Cotton Kurti,769,1099,(30% OFF)
Rangriti,https://www.myntra.com/kurtis/rangriti/rangriti-blue--pink-ethnic-motifs-printed-kurti/16014834/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16014834/2021/12/20/ae13a4ff-3417-4688-ab84-05d33aa5a93c1639985252315-Rangriti-Women-Kurtas-1711639985251843-1.jpg",3.9,21,Ethnic Motifs Printed Kurti,279,699,(60% OFF)
max,https://www.myntra.com/kurtis/max/max-yellow-floral-embroidered-thread-work-pure-cotton-thread-work-kurti/19529228/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19529228/2022/8/17/146aa886-f867-42a6-88d7-88aba9f71eeb1660727957950Kurtas1.jpg",4,12,Floral Embroidered Pure Cotton Kurti,479,599,(20% OFF)
Indiankala4u,https://www.myntra.com/kurtis/indiankala4u/indiankala4u-black-hand-embroidered-chikankari-empire-kurti/20675692/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20675692/2022/11/9/68119c2b-12d7-4de0-a992-7e933b0bdda41667977009768HandEmbroideredChikanakriTops1.jpg",,0,Embroidered Chikankari Kurti,1699,4500,(Rs. 2801 OFF)
Saree Swarg,https://www.myntra.com/kurtis/saree-swarg/saree-swarg-women-red-printed-kurti/18246326/buy,,3,11,Women Printed Kurti,780,1950,(60% OFF)
Rain & Rainbow,https://www.myntra.com/kurtis/rain--rainbow/rain--rainbow-green-ethnic-motifs-printed-pure-cotton-kurti/19081026/buy,,4.7,10,Ethnic Motifs Printed Pure Cotton Kurti,762,1695,(55% OFF)
Sztori,https://www.myntra.com/kurtis/sztori/sztori-plus-size-coral-pink-solid-keyhole-neck-pleated-a-line-kurti/16926332/buy,,4.4,37,Plus Size Pleated A-Line Kurti,719,1599,(55% OFF)
Fabindia,https://www.myntra.com/kurtis/fabindia/fabindia-women-pink-solid-v-neck-kurti/19412560/buy,,,0,Women  Solid V-Neck Kurti,1189,1699,(30% OFF)
TORONFRAS,https://www.myntra.com/kurtis/toronfras/toronfras-maroon-floral-embroidered-pleated-kurti/20084412/buy,,3.6,30,Floral Embroidered Kurti,637,2199,(71% OFF)
Pistaa,https://www.myntra.com/kurtis/pistaa/pistaa-turquoise-blue-kurti/18437190/buy,,4,23,Kurti,666,1899,(Rs. 1233 OFF)
Fabindia,https://www.myntra.com/kurtis/fabindia/fabindia-mustard-yellow--golden-striped-pure-cotton-thread-work-kurti/19412638/buy,,,0,Striped Pure Cotton Kurti,1329,1899,(30% OFF)
HERE&NOW,https://www.myntra.com/kurtis/herenow/herenow-white-ethnic-motifs-printed-pure-cotton-kurti/15886960/buy,,4.1,151,Ethnic Motifs Printed Pure Cotton Kurti,499,999,(50% OFF)
Saree Swarg,https://www.myntra.com/kurtis/saree-swarg/saree-swarg-yellow--black-kurti/18914524/buy,,4.6,12,Kurti,948,2370,(60% OFF)
Tissu,https://www.myntra.com/kurtis/tissu/tissu-women-yellow--red-floral-printed-kurti/19047452/buy,,4.3,9,Floral Printed Kurti,374,1499,(75% OFF)
Sangria,https://www.myntra.com/kurtis/sangria/sangria-sea-green--navy-blue-geometric-printed-kurti/20288304/buy,,,0,Geometric Printed Kurti,494,1499,(67% OFF)
Anubhutee,https://www.myntra.com/kurtis/anubhutee/anubhutee-women-maroon--golden-printed-straight-kurti/11535110/buy,,4.1,534,Women Printed Straight Kurti,521,1739,(70% OFF)
Sztori,https://www.myntra.com/kurtis/sztori/sztori-women-plus-size-lavender--silver-ethnic-motifs-printed-flared-sleeves-kurti/16926274/buy,,4,43,Plus Size Ethnic Printed Kurti,674,1499,(55% OFF)
antaran,https://www.myntra.com/kurtis/antaran/antaran-off-white--navy-blue-ethnic-motifs-printed-pure-cotton-kurti/16777022/buy,,4.2,119,Ethnic Motifs Printed Pure Cotton Kurti,778,1899,(59% OFF)
Sztori,https://www.myntra.com/kurtis/sztori/sztori-plus-size-women-teal-blue--yellow-floral-embroidered-a-line-kurti/16926064/buy,,,0,Plus Size Women A-Line Kurti,679,1699,(60% OFF)
Fabindia,https://www.myntra.com/kurtis/fabindia/fabindia-green--golden-pure-cotton-pintucks-detail-striped-kurti/19244338/buy,,,0,Cotton Pintucks Detail Kurti,909,1299,(30% OFF)
Bhama Couture,https://www.myntra.com/kurtis/bhama-couture/bhama-couture-women-black-solid-mangalgiri-pure-cotton-pure-cotton-kurti/4380620/buy,,3.9,137,Women Mangalgiri Cotton Cotton Kurti,854,1499,(43% OFF)
Pistaa,https://www.myntra.com/kurtis/pistaa/pistaa-turquoise-blue-kurti/18436018/buy,,4,35,Kurti,614,1799,(Rs. 1185 OFF)
ADA,https://www.myntra.com/kurtis/ada/ada-blue--white-ethnic-motifs-embroidered-chikankari-handloom-kurti/17241028/buy,,4.2,10,Ethnic Motifs Embroidered Handloom Kurti,,,
ADA,https://www.myntra.com/kurtis/ada/ada-yellow--white-ethnic-motifs-embroidered-chikankari-kurti/17241022/buy,,4.3,10,Ethnic Motifs Embroidered Kurti,,,
Sztori,https://www.myntra.com/kurtis/sztori/sztori-plus-size-green--white-geometric-print-kurti/18971132/buy,,3.9,9,Plus Size Geometric Kurti,494,899,(45% OFF)
House of Pataudi,https://www.myntra.com/kurtis/house-of-pataudi/house-of-pataudi-white--black-floral-printed-pure-cotton-rozana-kurti/16278512/buy,,4.3,21,Floral Printed Rozana Kurti,389,1299,(70% OFF)
HERE&NOW,https://www.myntra.com/kurtis/herenow/herenow-white--black-ethnic-motifs-printed-pure-cotton-kurti/15886794/buy,,4.1,144,Ethnic Motifs Printed Pure Cotton Kurti,399,999,(60% OFF)
TORONFRAS,https://www.myntra.com/kurtis/toronfras/toronfras-navy-blue-geometric-embroidered-mirror-work-pleated-kurti/20084422/buy,,3.8,19,Geometric Embroidered Kurti,637,2199,(71% OFF)
Rain & Rainbow,https://www.myntra.com/kurtis/rain--rainbow/rain--rainbow-navy-blue-ethnic-motifs-printed-pure-cotton-kurti/18882458/buy,,4.4,8,Printed Pure Cotton Kurti,717,1595,(55% OFF)
Tissu,https://www.myntra.com/kurtis/tissu/tissu-maroon-ethnic-motifs-printed-kurti/19047424/buy,,4.8,12,Ethnic Motifs Printed Kurti,599,1499,(60% OFF)
Ritu Kumar,https://www.myntra.com/kurtis/ritu-kumar/ritu-kumar-women-mustard-yellow-printed-twisted-collar-tiered-kurti-with-camisole/17001874/buy,,,0,Printed Kurti with Camisole,4720,5900,(20% OFF)
kipek,https://www.myntra.com/kurtis/kipek/kipek-women-grey-solid-pure-cotton-a-line-kurti/12670744/buy,,4.1,142,Women Solid Pure Cotton A-Line Kurti,769,1999,(Rs. 1230 OFF)
MissKurti,https://www.myntra.com/kurtis/misskurti/misskurti-navy-blue-ethnic-motifs-embroidered-thread-work-kurti/18736008/buy,,,0,Ethnic Motifs Embroidered Kurti,659,2199,(70% OFF)
ADA,https://www.myntra.com/kurtis/ada/ada-yellow--off-white-sustainable-ethnic-motifs-chikankari-kurti/14956298/buy,,4.4,57,Sustainable Chikankari Kurti,,,
Nimayaa,https://www.myntra.com/kurtis/nimayaa/nimayaa-white--blue-geometric-ikat-printed-kurti/20285012/buy,,,0,Geometric Ikat Printed Kurti,809,2999,(73% OFF)
ADA,https://www.myntra.com/kurtis/ada/ada-black--peach-coloured-ethnic-motifs-embroidered-chikankari-kurti/15797550/buy,,4.1,9,Ethnic Motifs Embroidered Kurti,,,
ADA,https://www.myntra.com/kurtis/ada/ada-black--green-ethnic-motifs-embroidered-chikankari-kurti/15797544/buy,,4.5,13,Ethnic Motifs Embroidered Kurti,,,
Biba,https://www.myntra.com/kurtis/biba/biba-women-golden-solid-straight-kurti/12642736/buy,,3.8,68,Solid Straight Kurti,1039,2599,(60% OFF)
HERE&NOW,https://www.myntra.com/kurtis/herenow/herenow-white--navy-blue-ethnic-motifs-printed-pure-cotton-kurti/20634882/buy,,,0,Ethnic Motifs Printed Pure Cotton Kurti,510,1599,(Rs. 1089 OFF)
Sztori,https://www.myntra.com/kurtis/sztori/sztori-women-plus-size-green-geometric-printed-boat-neck-kurti/18971294/buy,,,0,Plus Size Printed Kurti,494,899,(45% OFF)
TORONFRAS,https://www.myntra.com/kurtis/toronfras/toronfras-olive-green--pink-geometric-embroidered-thread-work-thread-work-kurti/20084414/buy,,1.5,6,Geometric Embroidered Kurti,637,2199,(71% OFF)
Prakrti,https://www.myntra.com/kurtis/prakrti/prakrti-maroon-solid-kurti/15953002/buy,,4.1,64,Solid Kurti,479,1599,(70% OFF)
Anubhutee,https://www.myntra.com/kurtis/anubhutee/anubhutee-navy-blue--white-ethnic-motifs-printed-kurti/18036624/buy,,4.4,5,Ethnic Motifs Printed Kurti,479,1599,(70% OFF)
Rain & Rainbow,https://www.myntra.com/kurtis/rain--rainbow/rain--rainbow-navy-blue--red-floral-printed-sequinned-pure-cotton-sequinned-kurti/19791546/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19791546/2022/9/10/46f93263-2786-44de-8d8d-1b4bebae9a0d1662812455779ParisHamiltonMenLightBlueBootcutSlimFitmidrisecleanlookstret1.jpg",,0,Floral Printed Pure Cotton Kurti,847,1695,(50% OFF)
Monte Carlo,https://www.myntra.com/kurtis/monte-carlo/monte-carlo-mustard-yellow--black-floral-printed-kurti--shrug/20978380/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20978380/2022/11/29/c4071675-68c5-4c8d-ad09-0ecbf76bebf21669740043275MonteCarloWomensBlendWoolMustardDesignerRoundNeckKurtiShrugS1.jpg",,0,Floral Printed Kurti & Shrug,4225,4695,(10% OFF)
Anubhutee,https://www.myntra.com/kurtis/anubhutee/anubhutee-pink-ethnic-motifs-printed-a-line-kurti/18036560/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18036560/2022/6/2/52768e30-d784-49ac-854b-1acb1606124b1654159483882-Anubhutee-Pink-Ethnic-Motifs-Printed-Kurti-8841654159483266-1.jpg",4,22,Ethnic Motifs Printed Kurti,559,1599,(65% OFF)
Saree Swarg,https://www.myntra.com/kurtis/saree-swarg/saree-swarg-yellow--black-kurti/18914524/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18914524/2022/6/29/af3e944d-94b1-47cc-a308-710aa1623b531656523741561BeautiliciousYellowFineGeorgettePartyWearLayeredShortTunic1.jpg",4.6,12,Kurti,948,2370,(60% OFF)
HERE&NOW,https://www.myntra.com/kurtis/herenow/herenow-yellow--navy-blue-ethnic-motifs-printed-v-neck-flared-sleeves-kurti/18238646/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18238646/2022/8/22/dbf5b4c3-8d5f-4bbc-bf83-7434ed9baeb91661147489161-HERENOW-Women-Kurtis-1381661147488701-1.jpg",3.7,37,Ethnic Motifs Printed Kurti,329,1099,(70% OFF)
ADA,https://www.myntra.com/kurtis/ada/ada-grey-hand-embroidered-chikankari-kota-kurti-with-matching-slip/15838492/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15838492/2021/10/25/3543459d-322a-44a3-b856-77393582c0261635167396963NetFabricRedColorKurtawithBottomDupattaJacketinZariThreadSeq1.jpg",4.7,10,Hand Embroidered Kurti,,,
SWAGG INDIA,https://www.myntra.com/kurtis/swagg-india/swagg-india-peach-coloured-ethnic-motifs-embroidered-chikankari-kurti/15916486/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15916486/2021/11/23/79208bfd-da15-418e-8f01-fa7e0080e9d01637649401564-SWAGG-INDIA-Peach-Coloured-Ethnic-Motifs-Embroidered-Chikank-1.jpg",4.3,72,Ethnic Motifs Embroidered Kurti,699,1749,(60% OFF)
Sztori,https://www.myntra.com/kurtis/sztori/sztori-plus-size-teal-green-floral-print-kurti/18971178/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18971178/2022/10/28/b6c6415d-899c-4b92-8713-5cccd682bb0f1666955258375-Sztori-Women-Kurtis-3171666955257804-1.jpg",,0,Plus Size Floral Print Kurti,314,899,(65% OFF)
Sztori,https://www.myntra.com/kurtis/sztori/sztori-plus-size-teal-blue-solid-pleated-a-line-kurti/16276464/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16276464/2022/7/8/d979c706-f90b-4d57-a0d1-13a2cc30b8901657257067946-Sztori-Plus-Size-Teal-Blue-Solid-Pleated-A-Line-Kurti-341657-5.jpg",4.2,43,Plus Size Pleated A-Line Kurti,559,1599,(65% OFF)
Anubhutee,https://www.myntra.com/kurtis/anubhutee/anubhutee-brown--yellow-floral-foil-printed-kurti/15636008/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15636008/2021/9/27/b64c0c8f-c471-4274-9b02-2c66622554251632725413549Kurtis1.jpg",4.1,79,Floral Foil Printed Kurti,486,1739,(72% OFF)
Ritu Kumar,https://www.myntra.com/kurtis/ritu-kumar/ritu-kumar-women-orange--brown-ethnic-motifs-printed-thread-work-kurti/17001934/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17001934/2022/4/18/7597255c-42c9-4dda-befe-0361c4274c8a1650255663395-Ritu-Kumar-Women-Kurtis-5161650255662900-1.jpg",,0,Ethnic Motifs Printed Kurti,4060,5800,(30% OFF)
aayusika,https://www.myntra.com/kurtis/aayusika/aayusika-women-solid-kurti/20000878/buy,,,0,Women Solid Kurti,584,1499,(61% OFF)
TANKHI,https://www.myntra.com/kurtis/tankhi/tankhi-maroon--grey-ethnic-motifs-printed-a-line-kurti/16887874/buy,,4.1,91,Ethnic Motifs Printed Kurti,809,1799,(55% OFF)
Biba,https://www.myntra.com/kurtis/biba/biba-cream-coloured--orange-ethnic-motifs-printed-straight-fit-kurti/20623156/buy,,,0,Ethnic Motifs Printed Kurti,,,
ADA,https://www.myntra.com/kurtis/ada/ada-red--white-ethnic-motifs-embroidered-chikankari-handloom-kurti/17241024/buy,,3.7,15,Ethnic Motifs Embroidered Handloom Kurti,,,
Anubhutee,https://www.myntra.com/kurtis/anubhutee/anubhutee-women-blue--golden-printed-straight-kurti-/13021468/buy,,3.8,272,Printed Straight Kurti,521,1739,(70% OFF)
